desc1,desc2,value,date
Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare",2687,1974
Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare",2715,1975
Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare",2679,1976
Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare",2579,1977
Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare",2523,1978
Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare",2450,1979
Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare",2371,1980
Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare",2287,1981
Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare",2258,1982
Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare",2172,1983
Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare",2064,1984
Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare",1904,1985
Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare",1743,1986
Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare",1648,1987
Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare",1526,1988
Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare",1388,1989
Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare",1242,1990
Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare",1113,1991
Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare",1003,1992
Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare",905,1993
Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare",877,1994
Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare",818,1995
Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare",788,1996
Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare",725,1997
Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare",705,1998
Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare",646,1999
Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare",680,2000
Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare",609,2001
Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare",572,2002
Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare",602,2003
Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare",497,2004
Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare",475,2005
Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare",490,2006
Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare",432,2007
Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare",420,2008
Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare",421,2009
Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare",352,2010
Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare",355,2011
Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare",297,2012
Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare",285,2013
Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare",263,2014
Milk and milk products excluding cheese,Other milk and cream,291,1974
Milk and milk products excluding cheese,Other milk and cream,272,1975
Milk and milk products excluding cheese,Other milk and cream,282,1976
Milk and milk products excluding cheese,Other milk and cream,276,1977
Milk and milk products excluding cheese,Other milk and cream,287,1978
Milk and milk products excluding cheese,Other milk and cream,315,1979
Milk and milk products excluding cheese,Other milk and cream,316,1980
Milk and milk products excluding cheese,Other milk and cream,325,1981
Milk and milk products excluding cheese,Other milk and cream,320,1982
Milk and milk products excluding cheese,Other milk and cream,350,1983
Milk and milk products excluding cheese,Other milk and cream,462,1984
Milk and milk products excluding cheese,Other milk and cream,510,1985
Milk and milk products excluding cheese,Other milk and cream,688,1986
Milk and milk products excluding cheese,Other milk and cream,735,1987
Milk and milk products excluding cheese,Other milk and cream,825,1988
Milk and milk products excluding cheese,Other milk and cream,917,1989
Milk and milk products excluding cheese,Other milk and cream,992,1990
Milk and milk products excluding cheese,Other milk and cream,1085,1991
Milk and milk products excluding cheese,Other milk and cream,1295,1992
Milk and milk products excluding cheese,Other milk and cream,1347,1993
Milk and milk products excluding cheese,Other milk and cream,1388,1994
Milk and milk products excluding cheese,Other milk and cream,1427,1995
Milk and milk products excluding cheese,Other milk and cream,1392,1996
Milk and milk products excluding cheese,Other milk and cream,1448,1997
Milk and milk products excluding cheese,Other milk and cream,1422,1998
Milk and milk products excluding cheese,Other milk and cream,1439,1999
Milk and milk products excluding cheese,Other milk and cream,1484,2000
Milk and milk products excluding cheese,Other milk and cream,1424,2001
Milk and milk products excluding cheese,Other milk and cream,1435,2002
Milk and milk products excluding cheese,Other milk and cream,1439,2003
Milk and milk products excluding cheese,Other milk and cream,1499,2004
Milk and milk products excluding cheese,Other milk and cream,1552,2005
Milk and milk products excluding cheese,Other milk and cream,1532,2006
Milk and milk products excluding cheese,Other milk and cream,1552,2007
Milk and milk products excluding cheese,Other milk and cream,1537,2008
Milk and milk products excluding cheese,Other milk and cream,1583,2009
Milk and milk products excluding cheese,Other milk and cream,1545,2010
Milk and milk products excluding cheese,Other milk and cream,1549,2011
Milk and milk products excluding cheese,Other milk and cream,1604,2012
Milk and milk products excluding cheese,Other milk and cream,1562,2013
Milk and milk products excluding cheese,Other milk and cream,1586,2014
Cheese,Natural cheese,97,1974
Cheese,Natural cheese,99,1975
Cheese,Natural cheese,99,1976
Cheese,Natural cheese,101,1977
Cheese,Natural cheese,99,1978
Cheese,Natural cheese,102,1979
Cheese,Natural cheese,103,1980
